symbol,currency,primaryExchange,name,status,reason,conId,localSymbol,exchange,tradingClass
ASML,EUR,AEB,ASML Holding,OK,bars_ok(n=102),117589399,ASML,SMART,ASML
ADYEN,EUR,AEB,Adyen,OK,bars_ok(n=102),321202935,ADYEN,SMART,ADYEN
INGA,EUR,AEB,ING Groep,OK,bars_ok(n=102),240601748,INGA,SMART,INGA
PHIA,EUR,AEB,Philips,OK,bars_ok(n=102),29622921,PHIA,SMART,PHIA
HEIA,EUR,AEB,Heineken,OK,bars_ok(n=102),29622888,HEIA,SMART,HEIA
SAP,EUR,IBIS,SAP,OK,bars_ok(n=102),14204,SAP,SMART,XETRA
SIE,EUR,IBIS,Siemens,OK,bars_ok(n=102),14217,SIE,SMART,XETRA
BAS,EUR,IBIS,BASF,OK,bars_ok(n=102),77680640,BAS,SMART,XETRA
VOW3,EUR,IBIS,Volkswagen,OK,bars_ok(n=102),14237,VOW3,SMART,XETRA
BMW,EUR,IBIS,BMW,OK,bars_ok(n=102),14094,BMW,SMART,XETRA
ALV,EUR,IBIS,Allianz,OK,bars_ok(n=102),14079,ALV,SMART,XETRA
DTE,EUR,IBIS,Deutsche Telekom,OK,bars_ok(n=102),2254332,DTE,SMART,XETRA
MBG,EUR,IBIS,Mercedes-Benz,OK,bars_ok(n=102),29622935,MBG,SMART,XETRA
MC,EUR,SBF,LVMH,OK,bars_ok(n=102),29612150,MC,SMART,MC
OR,EUR,SBF,L'Oreal,OK,bars_ok(n=102),29612116,OR,SMART,OR
AIR,EUR,SBF,Airbus,OK,bars_ok(n=102),29612256,AIR,SMART,AIR
SU,EUR,SBF,Schneider Electric,OK,bars_ok(n=102),29612196,SU,SMART,SU
BNP,EUR,SBF,BNP Paribas,OK,bars_ok(n=102),29612163,BNP,SMART,BNP
ULVR,GBP,LSE,Unilever,OK,bars_ok(n=102),837455630,ULVR,SMART,SET1
HSBA,GBP,LSE,HSBC,OK,bars_ok(n=102),909083,HSBA,SMART,SET1
SHEL,GBP,LSE,Shell,OK,bars_ok(n=102),542125742,SHEL,SMART,SET1
AZN,GBP,LSE,AstraZeneca,OK,bars_ok(n=102),909330,AZN,SMART,SET1
DSV,DKK,CPH,DSV,OK,bars_ok(n=96),44165865,DSV,SMART,DSV
VWS,DKK,CPH,Vestas,OK,bars_ok(n=96),481449559,VWS,SMART,VWS
EQNR,NOK,OSE,Equinor,OK,bars_ok(n=102),12492456,EQNR,SMART,EQNR
DNB,NOK,OSE,DNB,OK,bars_ok(n=102),500567119,DNB,SMART,DNB
